datetime,1m,2m,3m,4m,5m,8m,10m,15m,20m,30m,1h,2h,4h,8h,more,count
2016-01-14 00:22:02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 00:45:39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 01:12:37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 01:53:26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 02:24:41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 02:49:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 03:20:39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 03:52:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 04:28:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 05:06:27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 05:43:12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 06:21:32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 06:59:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 07:17:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 07:49:38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 08:09:48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 08:42:06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 09:11:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 09:37:08,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2016-01-14 09:50:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 10:14:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 10:25:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 10:38:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 10:59:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 11:16:07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
