datetime,1m,2m,3m,4m,5m,8m,10m,15m,20m,30m,1h,2h,4h,8h,more,count
2016-01-14 00:22:02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 00:45:39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 01:12:37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 01:53:26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 02:24:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 02:49:18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 03:20:39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 03:52:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 04:28:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 05:06:27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 05:43:12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 06:21:32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 06:59:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 07:17:24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 07:49:09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 08:08:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 08:40:02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 09:10:11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 09:36:41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 09:49:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 10:13:35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-14 10:25:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 10:37:52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2016-01-14 10:57:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-14 11:14:40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
